Vision_Conf,ESP32_Class,Audio_db,PIR_Trig,Thermal_Delta,Smoke_PPM,Label
88,2,80,1,5.313927016144036,308,2
98,1,83,1,25.83688296140582,1387,1
96,1,71,1,39.31069398583664,0,1
80,3,49,1,2.022059757176378,323,0
85,1,84,1,46.652275433401584,1281,1
93,2,82,1,4.374934511104122,280,2
98,1,68,1,37.74310616879245,0,1
85,1,72,1,37.48661555267306,1180,1
62,2,56,1,2.098918708866365,211,0
61,2,46,1,1.1302169098138224,225,0
92,1,72,1,35.35855559678903,1862,1
93,1,84,1,41.97755797861224,0,1
87,2,90,1,4.964782508611821,255,2
99,1,70,1,39.73036535869639,0,1
96,1,66,1,30.213454950529766,1888,1
97,1,76,1,46.711699397447816,0,1
98,1,64,1,24.64090725392677,1270,1
96,2,83,1,7.043153561168102,284,2
84,2,32,1,1.1199279488392588,309,0
98,2,76,1,8.635312672635532,302,2
94,2,91,1,5.117264222230288,206,2
96,1,63,1,37.75274281247063,0,1
92,2,77,1,6.924740358024598,244,2
95,1,84,1,47.447979673941646,0,1
91,2,87,1,9.516503739811048,385,2
99,1,76,1,43.92901176254955,1562,1
90,1,63,1,25.27094128700746,0,1
99,2,89,1,3.2818060210646247,275,2
91,2,91,1,9.727492222286186,376,2
77,2,49,1,2.010288103832825,356,0
88,1,74,1,26.511639568249173,1271,1
91,1,65,1,25.586050190252514,1183,1
89,2,75,1,5.1296957007167645,221,2
91,1,70,1,32.80239330083934,1461,1
71,2,36,1,0.35184044340133513,358,0
71,3,46,1,1.8819868052720339,280,0
80,1,63,1,27.083290215891594,1793,1
93,2,83,1,5.417393665714215,205,2
81,1,84,1,23.766076405027917,1867,1
76,3,46,1,2.718197657059096,315,0
32,3,53,1,1.4128807573042006,272,0
98,1,79,1,25.270277090879908,0,1
76,2,52,1,2.3472774366383637,234,0
96,1,64,1,53.22477631150917,1035,1
94,1,67,1,48.259960504233135,0,1
95,1,84,1,31.68872921847591,1746,1
37,3,54,1,2.399748256119568,266,0
81,2,42,1,2.9122264610317443,221,0
99,1,60,1,36.26163254144546,0,1
97,2,99,1,7.175398324897952,234,2
91,1,61,1,37.83420525562289,0,1
69,2,36,1,0.796489222287217,216,0
31,3,46,1,1.5018728042112535,323,0
76,2,45,1,1.8169136679702342,263,0
34,2,44,1,1.2268655312564798,372,0
91,2,85,1,4.944916142445958,336,2
31,2,35,1,1.9563697365913137,288,0
99,2,81,1,3.3084610309926696,368,2
87,2,96,1,8.105413558615975,275,2
81,3,46,1,1.8409137089681513,264,0
96,1,60,1,38.724511236041046,0,1
87,2,96,1,5.326202377485762,255,2
71,3,52,1,0.4871456839869627,284,0
87,1,61,1,52.212598694316206,1911,1
81,1,88,1,22.657753774230997,1095,1
95,2,82,1,3.7976964430002202,212,2
51,2,46,1,1.8046616378994722,379,0
91,1,69,1,23.761444177370656,1307,1
51,2,30,1,1.5701727341230993,260,0
84,2,46,1,0.5353378956833164,236,0
98,1,66,1,31.721337859554836,0,1
93,1,72,1,26.924497745719826,0,1
44,3,34,1,1.7306436039336255,324,0
93,2,82,1,5.600270838370637,281,2
94,1,76,1,40.42666290294503,0,1
95,1,61,1,47.579769470860725,0,1
98,2,86,1,9.20632004265462,342,2
90,1,60,1,36.48960143034058,0,1
99,2,78,1,7.8553264023165665,223,2
80,1,79,1,35.290090079098334,1558,1
89,1,69,1,20.82685475567618,961,1
93,1,61,1,35.211389535212064,0,1
89,1,85,1,20.37326479308373,928,1
90,1,78,1,27.64764511009394,0,1
87,2,90,1,3.8069741487309905,258,2
97,1,65,1,32.72446214472478,1984,1
93,1,80,1,56.25888443858188,1862,1
62,3,59,1,1.94932104792829,209,0
33,3,33,1,0.2035111773155157,391,0
92,1,74,1,22.388659558835574,1315,1
93,1,71,1,28.76520258045685,0,1
48,3,39,1,0.635266051996435,325,0
92,1,71,1,37.855860960340294,0,1
95,1,80,1,26.9096236247864,0,1
92,2,75,1,8.44321598614658,345,2
93,2,94,1,6.568978066853203,252,2
85,2,81,1,8.651772212379658,276,2
85,2,94,1,6.18443222655311,215,2
95,1,64,1,48.343735575036746,0,1
85,2,95,1,9.730446272018785,262,2
90,1,66,1,25.019451871966027,1072,1
92,1,79,1,40.946927316590845,0,1
95,1,68,1,30.12453023817041,0,1
92,1,60,1,55.21439874553667,1310,1
52,3,53,1,1.605930394357775,264,0
98,1,85,1,44.98525997272607,0,1
98,1,66,1,46.82148553914161,0,1
91,1,78,1,40.59648311691433,0,1
91,1,70,1,26.093390646999236,0,1
62,2,53,1,2.241234801387087,241,0
87,2,75,1,5.392476833157332,236,2
90,1,82,1,30.896439978592177,0,1
96,2,79,1,4.673464688525208,272,2
96,1,84,1,48.512598821985065,0,1
87,2,90,1,3.0467749045672146,221,2
96,1,89,1,47.69435689844232,1038,1
99,1,60,1,27.572900768603624,0,1
65,3,37,1,2.2660842309529574,333,0
87,3,46,1,2.1187384876657864,387,0
76,2,41,1,2.248955495228774,379,0
86,2,50,1,2.20507555856947,311,0
53,3,33,1,0.4547852244002981,384,0
82,1,89,1,54.55846322940041,1319,1
80,1,60,1,55.301339432784,1388,1
67,3,54,1,0.4824764072345702,316,0
40,3,40,1,2.498495705607227,354,0
95,1,89,1,26.25134838199105,1657,1
47,2,36,1,1.7416320370317295,350,0
85,1,86,1,50.44353224095502,1535,1
91,1,78,1,32.583862272376436,1616,1
92,1,82,1,39.346264949375666,0,1
88,2,96,1,8.936334537915403,257,2
49,2,36,1,1.8640334917605887,272,0
92,2,86,1,5.873470558423882,242,2
99,1,73,1,26.174149169376378,0,1
93,2,81,1,3.0928547281190655,288,2
83,1,88,1,26.06699518931005,1920,1
95,1,64,1,48.34687543819762,0,1
92,2,79,1,9.876650318360245,205,2
61,2,41,1,2.772762823809348,253,0
91,1,89,1,25.005938089397116,0,1
97,1,73,1,44.41118616249312,0,1
82,1,64,1,44.30179407605753,820,1
89,1,70,1,21.842269367598256,969,1
92,2,78,1,5.419670983267043,394,2
72,2,57,1,2.500929402431875,367,0
84,1,86,1,22.263426245868626,1358,1
95,1,63,1,36.458089864689384,0,1
64,2,45,1,1.2444453581668418,324,0
95,1,88,1,27.53432243882898,0,1
99,1,85,1,49.273506240115466,0,1
92,1,65,1,43.58613980606191,1893,1
99,1,86,1,38.38419852954128,0,1
35,3,56,1,1.252233009446337,364,0
86,2,90,1,6.9084662054487955,386,2
87,1,78,1,34.193274221726504,1873,1
89,2,89,1,8.751535530732397,222,2
87,1,80,1,53.00528783714815,1558,1
93,1,82,1,51.99421023789261,1520,1
86,2,43,1,0.27539719744032565,246,0
99,1,67,1,42.55365240454574,0,1
87,2,49,1,1.9255798765660663,211,0
90,2,80,1,9.240360109364548,344,2
98,2,91,1,4.777407897540413,211,2
97,2,92,1,6.614102438108367,357,2
37,3,46,1,1.693375627567924,241,0
89,2,54,1,0.1662476653267333,255,0
89,1,72,1,28.37823078038044,1452,1
61,2,56,1,2.0026732155630818,377,0
99,2,99,1,5.6882984687377025,393,2
95,1,68,1,22.37886275469123,1740,1
84,1,62,1,43.651911508309084,1525,1
79,3,41,1,0.16339814210051273,329,0
96,2,87,1,6.3549525000340115,321,2
90,1,79,1,43.53652277847614,0,1
70,2,55,1,0.1182804341055177,209,0
88,1,63,1,21.17577783026029,1665,1
81,1,82,1,24.628052727212086,1656,1
83,3,43,1,2.321638967190469,304,0
94,1,64,1,47.06590857973349,0,1
95,1,85,1,40.09093001398438,0,1
97,1,76,1,31.669525356882126,0,1
34,3,53,1,2.574361182753311,375,0
99,1,88,1,27.24902244198838,1860,1
94,1,89,1,45.624607341955496,1862,1
86,1,73,1,24.820903151458577,936,1
95,1,69,1,46.119735907150535,0,1
78,2,35,1,1.7031819537931638,387,0
96,1,65,1,34.71132530877013,1683,1
80,1,82,1,43.46433852701897,1486,1
88,1,89,1,40.80296244444602,1182,1
72,3,34,1,1.6488481311567735,295,0
99,2,78,1,4.171518131970396,377,2
90,1,81,1,37.97095142815181,0,1
98,1,63,1,44.16287623831462,0,1
32,2,50,1,1.2292177093288172,256,0
90,1,88,1,51.19953307642177,1110,1
65,3,59,1,2.040335656340918,227,0
32,2,33,1,1.8450389041166,277,0
37,2,35,1,0.7681426953148629,268,0
99,1,81,1,47.44358916274314,0,1
85,2,84,1,5.793247223497043,245,2
95,2,79,1,6.655702820383631,252,2
30,2,51,1,1.7529429357693007,343,0
88,2,79,1,3.0557508332181578,339,2
92,1,67,1,27.77495246978287,0,1
81,1,86,1,34.243869035913846,1676,1
96,1,63,1,28.3532374197836,1529,1
92,2,87,1,7.432059629158156,322,2
90,1,66,1,42.874890849087464,1636,1
96,1,70,1,59.65023974808753,1499,1
99,1,83,1,51.571713932787425,1343,1
89,2,98,1,3.6102562748228184,360,2
95,1,78,1,29.807747400840686,0,1
83,3,57,1,2.107394911632312,367,0
93,1,85,1,38.14225455756714,0,1
30,2,34,1,0.008132698242989012,208,0
92,1,89,1,49.99841881596711,1751,1
94,1,87,1,29.06652037763713,0,1
99,2,99,1,7.540472697381709,349,2
63,2,47,1,2.9192932442110395,238,0
72,3,35,1,0.42213458414627525,328,0
86,2,80,1,4.583029361129585,297,2
99,1,80,1,31.001768512189162,0,1
85,1,62,1,45.56128635659683,889,1
90,1,76,1,48.684881239661166,0,1
92,1,74,1,47.405372394979366,1602,1
84,3,58,1,0.4477484092244217,269,0
93,1,60,1,25.45188409038802,0,1
38,3,41,1,1.9785179449539814,217,0
44,3,42,1,1.6485886076850509,231,0
87,1,60,1,25.464853257681153,1045,1
82,1,83,1,24.165494316811497,1497,1
80,1,89,1,20.76515865749148,1034,1
88,1,66,1,48.313403889190745,1328,1
91,1,60,1,29.789823643370646,0,1
97,1,69,1,25.523624025772822,0,1
79,2,53,1,2.739721657669414,334,0
70,3,32,1,0.6321148916016095,256,0
35,2,39,1,2.976399949022017,385,0
97,2,75,1,6.55852382841396,390,2
88,1,62,1,58.226059929190136,969,1
92,1,61,1,26.6381958118314,1925,1
96,2,91,1,9.229393634540038,291,2
33,3,46,1,0.07558024187768808,315,0
82,1,87,1,59.76326618582302,1639,1
89,1,84,1,48.607458191209645,980,1
92,1,84,1,37.67706060150667,0,1
84,1,70,1,21.87891964392559,1964,1
91,1,80,1,34.198518782552114,0,1
89,1,82,1,40.178237666774216,1497,1
76,3,32,1,2.2823551458506923,341,0
64,2,30,1,0.25317714163362703,300,0
99,1,89,1,44.49031943524632,1182,1
85,1,76,1,40.55417856827071,1362,1
96,1,80,1,42.18238906456294,0,1
90,1,87,1,28.922482461710274,1516,1
95,1,73,1,29.42217862859636,0,1
46,3,52,1,1.3855304438253309,357,0
68,3,52,1,2.4663094818006766,377,0
96,1,75,1,44.06490986735438,0,1
98,2,92,1,3.1340140759778565,311,2
95,1,75,1,48.40802884922892,0,1
82,1,87,1,59.79277175863804,1913,1
33,3,34,1,0.7478766874466248,342,0
97,1,86,1,21.808746804247576,1942,1
97,1,81,1,39.8261083546696,0,1
87,2,92,1,4.446067113552466,283,2
95,2,82,1,9.599122418945878,262,2
35,2,30,1,2.901105825768439,282,0
93,1,74,1,41.57568009307869,0,1
99,1,67,1,22.66110432843421,1785,1
89,1,62,1,59.90513189608626,1150,1
86,2,82,1,9.265824184945755,399,2
91,1,86,1,41.02869082213243,0,1
96,1,60,1,32.87296111472239,0,1
81,1,62,1,43.611797700592305,1195,1
85,1,68,1,46.21129638766632,800,1
95,1,64,1,48.51121264340431,0,1
95,1,65,1,51.26461916785596,1290,1
93,2,78,1,4.861983851648606,342,2
91,1,83,1,38.708014593160605,0,1
96,2,79,1,9.17015545772515,331,2
94,2,89,1,6.54670854287922,295,2
89,1,78,1,55.484772688947935,1892,1
85,2,77,1,4.860957956580195,338,2
93,2,99,1,7.632030778507696,315,2
99,1,87,1,44.30031190774976,0,1
96,2,87,1,3.9864695748233387,214,2
91,1,74,1,37.64631732379573,0,1
96,1,76,1,29.51438362818334,0,1
96,1,75,1,27.173125373758733,0,1
87,2,94,1,9.209604969855821,319,2
86,1,76,1,41.679602995590635,882,1
87,1,86,1,37.37577462041715,1597,1
87,1,70,1,51.81069247439561,1069,1
80,1,81,1,54.392953415651036,1367,1
87,1,76,1,36.51174202427009,860,1
95,1,80,1,43.6465009656753,0,1
95,1,63,1,38.00234557704901,1998,1
46,3,40,1,2.3794286219902183,210,0
99,1,73,1,30.467890324948183,0,1
46,3,31,1,0.400951744231554,314,0
64,3,40,1,1.0812804814244583,381,0
83,1,80,1,51.66316174903394,1368,1
68,2,41,1,0.16369622484809687,202,0
99,2,97,1,7.332940952890118,294,2
91,2,87,1,7.727941452829624,346,2
91,1,72,1,36.536657971810456,1220,1
94,1,88,1,33.360029474718715,0,1
87,2,51,1,0.17876129205943114,396,0
88,2,50,1,1.3261002627933705,365,0
96,2,83,1,3.3664851413123067,212,2
85,2,86,1,9.432485735476881,217,2
99,1,65,1,51.73045401753018,1574,1
98,1,71,1,42.214542037505254,1713,1
98,1,65,1,45.74354509268004,0,1
98,1,88,1,31.165090874450616,0,1
97,1,74,1,38.11644281070443,1229,1
91,1,87,1,26.810406803658537,0,1
90,1,71,1,32.33720436795095,0,1
93,1,65,1,39.718288053283,0,1
89,1,80,1,57.78945035132318,1461,1
84,1,77,1,31.143613561278343,1333,1
97,1,69,1,51.94856766618298,1451,1
87,2,76,1,4.164321254201996,395,2
90,1,82,1,32.932636935512164,0,1
79,2,31,1,1.1427285765329618,201,0
98,2,91,1,6.740292314713944,283,2
88,2,89,1,8.533643571901713,347,2
98,1,87,1,31.45333581752819,0,1
61,2,44,1,0.630955668857381,305,0
97,1,68,1,34.25580464211442,0,1
96,2,88,1,7.737389330970123,251,2
96,1,70,1,36.483286020013566,0,1
91,1,88,1,40.48744378518969,0,1
91,1,84,1,30.512155226754384,0,1
98,1,63,1,41.70897773390385,868,1
95,1,74,1,45.99505714089043,0,1
69,2,39,1,1.972680938334069,209,0
96,1,77,1,32.66038623377591,0,1
97,1,79,1,34.009387309079266,0,1
91,1,82,1,41.5917791340662,0,1
62,3,49,1,0.2524198949851465,399,0
37,2,38,1,1.1879114179873647,375,0
88,1,60,1,37.977353408549504,1771,1
97,2,91,1,9.651661476745616,254,2
90,2,93,1,4.790205910838103,241,2
90,1,78,1,38.04710820394858,0,1
35,3,51,1,1.3569548535549005,202,0
99,1,74,1,46.98741426820316,0,1
90,1,62,1,47.70129726148432,1119,1
84,1,60,1,40.289392347535696,1835,1
95,2,82,1,4.755114623931185,252,2
81,1,86,1,49.74375664706239,1910,1
55,2,36,1,2.0354735059517437,326,0
97,1,76,1,36.598312167208405,0,1
88,2,96,1,3.9193458848656464,394,2
86,1,80,1,57.38175522862062,978,1
74,3,56,1,0.9087471864995779,394,0
88,2,79,1,5.416345014168929,336,2
83,1,89,1,49.117572278950604,1809,1
88,2,80,1,5.982583687232601,262,2
62,3,58,1,0.20176774190210356,375,0
97,1,62,1,55.6022810186101,1950,1
50,3,52,1,0.44771333385052836,395,0
83,1,87,1,42.106490711069924,1644,1
93,1,83,1,44.8047798700419,0,1
46,2,51,1,0.6271781211205381,344,0
97,1,79,1,36.872163587655464,0,1
95,1,82,1,39.49061416400203,1521,1
75,3,43,1,0.7375423274802009,320,0
94,2,94,1,9.90641086071193,242,2
89,2,39,1,2.934185453920586,262,0
97,1,74,1,39.26524366597074,0,1
64,3,45,1,0.5227302049361386,286,0
84,3,53,1,0.2651548409535561,300,0
94,2,82,1,5.125367567006881,351,2
73,3,31,1,0.07320234466961406,369,0
98,1,63,1,46.71378765800722,0,1
82,1,74,1,24.439100983405922,1026,1
89,2,84,1,7.337125362218885,203,2
90,1,75,1,25.135123091816748,0,1
43,3,37,1,0.20614103317188293,261,0
99,2,91,1,8.038540173482803,231,2
92,1,82,1,50.18171496338729,1672,1
85,1,74,1,42.54639884115049,872,1
66,3,46,1,1.080151397702935,247,0
52,2,47,1,2.235193644360661,315,0
62,2,41,1,0.5571992160155569,313,0
90,1,71,1,41.77638209649786,0,1
86,2,83,1,6.473674553305697,237,2
94,1,84,1,49.49620824375276,827,1
32,2,55,1,1.4293838137181987,328,0
57,3,59,1,2.9629486912081733,351,0
90,1,76,1,41.92801599337523,0,1
88,2,89,1,6.539877206469618,284,2
92,2,95,1,4.941668280867929,291,2
82,1,62,1,28.977622873466427,1943,1
92,1,75,1,27.67451597067396,0,1
96,1,64,1,36.65748532349547,0,1
99,2,83,1,4.881927197169904,209,2
61,2,58,1,0.968059164832751,279,0
84,1,62,1,27.49647776390329,1064,1
83,1,66,1,30.585401077014293,1798,1
74,3,34,1,0.5611312456725701,317,0
76,2,37,1,0.39455480074913374,226,0
96,2,84,1,6.549417527171028,279,2
96,1,88,1,25.553088788224933,0,1
83,3,57,1,2.0652150554764104,366,0
95,1,76,1,48.24042307189211,0,1
49,2,45,1,0.3190311787673238,367,0
92,1,82,1,41.972390859204154,1762,1
89,2,80,1,8.614764743187138,372,2
94,2,90,1,3.0698514366091456,355,2
97,1,65,1,58.48487890368199,1772,1
39,3,47,1,0.1291572081470057,316,0
88,3,46,1,0.12607402551421587,287,0
94,1,63,1,38.70955090489135,0,1
38,3,33,1,0.31677463792992,204,0
87,1,86,1,54.57971521229394,1015,1
30,3,59,1,1.6334672938825485,288,0
97,2,99,1,3.7384598188118945,227,2
95,1,73,1,48.141870772017796,0,1
95,2,82,1,8.48238889309038,399,2
93,2,91,1,7.87024082289232,358,2
51,3,36,1,0.16852823204231704,253,0
74,2,46,1,1.9126597934106893,347,0
92,2,91,1,6.86935476784843,294,2
83,1,89,1,52.01419516093627,1219,1
91,1,82,1,47.11467220574035,0,1
38,3,40,1,1.5156203207299148,215,0
48,2,53,1,0.8124967537862227,291,0
95,1,78,1,36.639950453311506,0,1
91,1,84,1,32.9019420960816,0,1
68,3,32,1,0.902634929450309,312,0
96,1,87,1,46.64550413055888,0,1
99,1,67,1,30.6531332812418,0,1
99,2,79,1,5.1826149586903805,333,2
96,1,87,1,36.09759580799779,0,1
95,1,65,1,34.82744311666901,0,1
98,1,81,1,32.39857222146642,0,1
76,2,36,1,2.537548651379903,332,0
46,3,41,1,0.09390694124254872,220,0
51,3,46,1,1.936716544282284,200,0
93,1,83,1,44.949723394560365,1791,1
98,1,72,1,39.70766689487642,0,1
94,1,83,1,32.78682927831893,0,1
88,2,40,1,1.0027316724508823,353,0
95,1,75,1,40.82006526653767,0,1
92,1,63,1,38.506972329685524,0,1
92,2,86,1,4.948579371638596,303,2
97,2,89,1,8.717298510836697,378,2
94,1,87,1,42.830172082065445,0,1
93,1,68,1,45.979509874507464,0,1
98,1,80,1,50.720217412528385,986,1
96,2,86,1,8.800570342828024,217,2
88,2,56,1,0.027162484741112936,291,0
94,1,70,1,30.51627649054371,0,1
97,1,77,1,48.625601614514224,0,1
93,1,69,1,48.16469062903736,0,1
92,1,72,1,47.910251042937176,844,1
97,1,86,1,43.08550284221462,0,1
93,2,84,1,5.206029273927873,282,2
91,1,74,1,36.78831150256282,0,1
99,1,79,1,43.84670206774783,0,1
71,3,36,1,2.3178681823481475,235,0
93,1,80,1,55.33976089065036,1860,1
99,2,83,1,7.829998161162604,225,2
88,2,76,1,7.18406495679105,363,2
64,3,46,1,1.9550004761276552,211,0
93,1,62,1,44.671344314101646,1632,1
95,2,78,1,9.743522243122266,251,2
98,1,64,1,29.001790873864323,0,1
99,1,82,1,41.48776921601926,0,1
92,1,83,1,31.811619761917733,1307,1
94,1,89,1,47.96066080363522,0,1
97,1,85,1,37.990165334790625,1001,1
94,1,87,1,41.46351289175137,0,1
63,2,41,1,0.6585315752428761,285,0
97,2,76,1,5.763140476913797,207,2
94,1,80,1,48.70628844475198,0,1
85,2,98,1,7.610855421332615,203,2
99,1,89,1,41.446132615075896,0,1
95,1,76,1,26.131229725472195,0,1
48,2,36,1,1.797906348418313,342,0
90,2,92,1,6.707631750585568,241,2
98,1,65,1,56.055025983537774,1196,1
90,1,81,1,47.90670294787727,1699,1
85,1,64,1,58.53387331281596,1998,1
81,1,84,1,49.734112915744966,1571,1
89,3,36,1,2.637354922686494,245,0
89,2,76,1,7.345639790954639,393,2
95,1,81,1,49.522764933540685,1419,1
90,1,76,1,43.92497830430572,0,1
84,1,81,1,49.20157266247274,1899,1
91,2,95,1,5.392625938445278,254,2
93,2,90,1,4.241285872567576,230,2
92,1,67,1,28.138744747461928,0,1
98,1,66,1,37.37807377953085,972,1
65,2,35,1,0.20152619974713026,364,0
97,1,64,1,47.35477186660296,0,1
51,2,35,1,1.0960704590221728,311,0
88,1,81,1,23.09284261955149,1578,1
99,1,65,1,25.7358148004357,1919,1
32,2,37,1,1.721597549031289,276,0
83,1,77,1,53.0682943896595,1168,1
96,1,85,1,32.57327264101073,0,1
92,1,86,1,28.237873032070105,0,1
92,1,67,1,44.938684013429985,0,1
97,1,64,1,58.383065772841334,963,1
54,2,53,1,0.34974922366709016,332,0
84,3,44,1,0.5008592662415962,348,0
95,1,82,1,44.21647030030349,1657,1
96,1,60,1,42.025985677422725,0,1
93,1,64,1,34.424638548157006,0,1
88,2,92,1,9.906850862500132,236,2
85,3,48,1,1.0025781425193299,382,0
83,1,88,1,32.09916116671707,835,1
96,1,70,1,42.26815787783158,0,1
80,2,36,1,0.35449448286496876,313,0
90,2,95,1,9.219248769460446,278,2
89,1,83,1,58.517075009503195,1995,1
83,1,71,1,22.440285720215797,1617,1
72,3,59,1,0.8334662183452033,287,0
97,2,79,1,8.450003573355257,232,2
57,3,31,1,1.3154223690542608,390,0
98,2,95,1,8.358827253611025,256,2
94,1,71,1,45.76721276300192,0,1
93,2,90,1,9.31358137724405,317,2
89,3,57,1,2.4010695234670845,226,0
87,2,81,1,8.410907049139107,302,2
73,2,40,1,2.7038880323239463,307,0
32,3,56,1,1.0124409770246945,258,0
92,2,99,1,5.9037795886494635,305,2
90,1,76,1,42.634639852805094,0,1
56,3,31,1,0.2440463419256993,364,0
95,1,82,1,32.570747224468555,0,1
46,2,48,1,0.6944402877389647,362,0
92,1,74,1,38.191193253619645,0,1
96,1,67,1,45.457209981745464,1434,1
60,2,39,1,0.22049024199003797,213,0
95,2,80,1,3.9215751215528085,319,2
88,2,81,1,4.22056500303494,360,2
92,2,97,1,4.954932619180873,390,2
90,1,70,1,36.73558133513334,1981,1
81,1,61,1,36.44148053272925,1654,1
95,2,77,1,6.305504476133645,300,2
97,1,84,1,35.78765867237889,1365,1
94,1,64,1,36.44374435521759,1471,1
94,1,85,1,31.030036439988535,0,1
84,1,81,1,46.8508330091653,1788,1
87,2,57,1,1.2108030070847737,396,0
96,1,83,1,34.0688400099788,0,1
97,1,63,1,35.44865079288947,0,1
90,1,74,1,29.981148860207853,0,1
97,2,92,1,6.641176769151123,369,2
81,1,83,1,58.23297934883009,1831,1
87,2,90,1,7.609162842608979,296,2
90,1,77,1,22.414083359622552,886,1
31,3,57,1,2.752186839256595,278,0
96,1,77,1,39.88047795284996,1746,1
90,1,76,1,34.640337821641204,0,1
62,2,57,1,1.5245963302221561,292,0
95,2,93,1,7.825172884718832,373,2
99,1,78,1,39.52375949720448,0,1
82,2,38,1,0.3273288952972492,297,0
91,1,62,1,33.65249316344464,0,1
96,1,61,1,40.06174576758637,0,1
99,1,62,1,29.63647186691636,0,1
73,2,46,1,1.5743239807751674,369,0
56,3,31,1,0.8210953730351129,205,0
99,2,91,1,7.928582899249373,212,2
86,1,86,1,23.02334455416268,1029,1
